theta_dc,mass_rel,dm_pct,d_op_pct,lens,d_lens_pct,r_pp,u_ref_pp,g0_scope
0.05,0.9758034515195521,-2.4196548480447944,-2.520783451725672,L0,0.15783482415816508,-2.6786182758838373,6.57238972134877e-06,G0_FENCE_PENDING_USER
0.05,0.9758034515195521,-2.4196548480447944,-2.520783451725672,L1,0.32279512736148597,-2.843578579087158,0.004468119965528317,G0_FENCE_PENDING_USER
0.05,0.9758034515195521,-2.4196548480447944,-2.520783451725672,L1b,0.17576786074449124,-2.6965513124701634,0.00023493120335782436,G0_FENCE_PENDING_USER
0.05,0.9758034515195521,-2.4196548480447944,-2.520783451725672,L2,2.5832946973578075,-5.104078149083479,0.017796240008838282,G0_FENCE_PENDING_USER
0.05,0.987901725759776,-1.2098274240224027,-1.362749369803895,L0,0.8044125076085207,-2.1671618774124157,6.600990087868297e-06,G0_FENCE_PENDING_USER
0.05,0.987901725759776,-1.2098274240224027,-1.362749369803895,L1,1.5647519487669737,-2.9275013185708687,0.00799860528688523,G0_FENCE_PENDING_USER
0.05,0.987901725759776,-1.2098274240224027,-1.362749369803895,L1b,1.4152026121630135,-2.7779519819669085,0.0036411705399030936,G0_FENCE_PENDING_USER
0.05,0.987901725759776,-1.2098274240224027,-1.362749369803895,L2,3.246369992785425,-4.60911936258932,0.01805674885788644,G0_FENCE_PENDING_USER
0.05,1.0,0.0,-0.20595875450180046,L0,1.4468197433031849,-1.6527784978049853,6.632561055930353e-06,G0_FENCE_PENDING_USER
0.05,1.0,0.0,-0.20595875450180046,L1,2.8066617110796166,-3.012620465581417,0.011614038206242405,G0_FENCE_PENDING_USER
0.05,1.0,0.0,-0.20595875450180046,L1b,2.6545737804682723,-2.8605325349700728,0.007130564612856105,G0_FENCE_PENDING_USER
0.05,1.0,0.0,-0.20595875450180046,L2,3.905166399698823,-4.111125154200623,0.01831773532436909,G0_FENCE_PENDING_USER
0.05,1.012098274240224,1.2098274240224027,0.9495884020069179,L0,2.0851382649923256,-1.1355498629854077,6.667271690297127e-06,G0_FENCE_PENDING_USER
0.05,1.012098274240224,1.2098274240224027,0.9495884020069179,L1,4.048524372027296,-3.098935970020378,0.015314412358558016,G0_FENCE_PENDING_USER
0.05,1.012098274240224,1.2098274240224027,0.9495884020069179,L1b,3.893881344536476,-2.9442929425295583,0.010703105755616171,G0_FENCE_PENDING_USER
0.05,1.012098274240224,1.2098274240224027,0.9495884020069179,L2,4.559767210083421,-3.610178808076503,0.018579194702850188,G0_FENCE_PENDING_USER
0.05,1.024196548480448,2.4196548480448055,2.1038921178784253,L0,2.7194475114234784,-0.6155553935450531,6.705257304950862e-06,G0_FENCE_PENDING_USER
0.05,1.024196548480448,2.4196548480448055,2.1038921178784253,L1,5.290339889505313,-3.186447771626888,0.01909972139135796,G0_FENCE_PENDING_USER
0.05,1.024196548480448,2.4196548480448055,2.1038921178784253,L1b,5.13312528344525,-3.0292331655668248,0.014358786493851028,G0_FENCE_PENDING_USER
0.05,1.024196548480448,2.4196548480448055,2.1038921178784253,L2,5.2102533958123365,-3.106361277933911,0.018841122439750002,G0_FENCE_PENDING_USER
0.1,0.9531024257678439,-4.689757423215612,-4.739558555964485,L0,0.3329346448446069,-5.072493200809092,1.3136909471356262e-05,G0_FENCE_PENDING_USER
0.1,0.9531024257678439,-4.689757423215612,-4.739558555964485,L1,0.6880407729617177,-5.427599328926203,0.00833036984013713,G0_FENCE_PENDING_USER
0.1,0.9531024257678439,-4.689757423215612,-4.739558555964485,L1b,0.3915786506366814,-5.131137206601166,0.0005505051322129972,G0_FENCE_PENDING_USER
0.1,0.9531024257678439,-4.689757423215612,-4.739558555964485,L2,5.142495066338393,-9.882053622302877,0.03390328177170776,G0_FENCE_PENDING_USER
0.1,0.976551212883922,-2.3448787116078007,-2.4879322470669485,L0,1.616642955008829,-4.104575202075777,1.2370459523403099e-05,G0_FENCE_PENDING_USER
0.1,0.976551212883922,-2.3448787116078007,-2.4879322470669485,L1,3.1643765993412565,-5.652308846408205,0.015354359865904499,G0_FENCE_PENDING_USER
0.1,0.976551212883922,-2.3448787116078007,-2.4879322470669485,L1b,2.8580421901216457,-5.345974437188595,0.007114747485070794,G0_FENCE_PENDING_USER
0.1,0.976551212883922,-2.3448787116078007,-2.4879322470669485,L2,6.4910543833059275,-8.978986630372876,0.03488999299117168,G0_FENCE_PENDING_USER
0.1,1.0,0.0,-0.24073966354708487,L0,2.8841649255188173,-3.124904589065902,1.1567074786889009e-05,G0_FENCE_PENDING_USER
0.1,1.0,0.0,-0.24073966354708487,L1,5.640662665670715,-5.881402329217799,0.022705651054066855,G0_FENCE_PENDING_USER
0.1,1.0,0.0,-0.24073966354708487,L1b,5.324336351075409,-5.565076014622495,0.013993151637481382,G0_FENCE_PENDING_USER
0.1,1.0,0.0,-0.24073966354708487,L2,7.822601059204581,-8.063340722751667,0.03588033034216398,G0_FENCE_PENDING_USER
