tag,T_K,background_path,direction,k_label,layer,ny,mode,k_lu,theta_b_lu,rho_b_lu,alpha_eff_lu,alpha_eff_m2_s,nu_eff_lu,nu_eff_m2_s,heat_flux_ratio_vs_ref_fourier,c_eff_lu,c_eff_m_s,gamma_eff,steps,fit_start,thermal_finite,shear_finite,acoustic_finite,mu_eff_Pa_s,k_eff_W_mK
,270.0,isobaric,y,klow256,low,256,1,0.02454369260617026,0.043540643323666896,1.1111111111111112,0.008896936049115588,3.098213651035864e-05,0.0011444108086348082,3.985224992212699e-06,0.3935346307690357,nan,nan,nan,44000,5500,True,True,,5.211788684260385e-06,0.040720338384506206
,270.0,isobaric,y,klow128,low,128,1,0.04908738521234052,0.043540643323666896,1.1111111111111112,0.00810580141173972,2.8227138475311647e-05,0.0014897119552893078,5.1876802199196066e-06,0.5448821812131458,0.24744574666138344,329.92808329693446,1.406258448816437,22751,2843,True,True,True,6.784332909828198e-06,0.03709939855041002
,270.0,isobaric,y,k1,production,64,1,0.09817477042468103,0.043540643323666896,1.1111111111111112,0.005077208791434389,1.7680555980106226e-05,0.0028692545127542908,9.991713383839912e-06,1.158848243906677,0.24914850657921042,332.1984327516466,1.425678942527463,5688,711,True,True,True,1.3066940725310643e-05,0.023237849400586617
,270.0,isobaric,y,kbox,diagnostic_wp13,48,1,0.1308996938995747,0.043540643323666896,1.1111111111111112,0.002160216841944263,7.522604716906567e-06,0.00429707668342631,1.4963872468727853e-05,1.8080029891868175,nan,nan,nan,4000,500,True,True,,1.9569419884102983e-05,0.009887084756175585
,270.0,isobaric,y,k2,production,45,1,0.13962634015954636,0.043540643323666896,1.1111111111111112,0.001290498717005464,4.493952434409201e-06,0.004746186240657734,1.6527823646238438e-05,2.014507898083739,0.2515880825015104,335.45120479950566,1.45373514089493,4000,500,True,True,True,2.1614720479580717e-05,0.005906476583751254
,270.0,isobaric,y,k3,production,37,1,0.16981581911296179,0.043540643323666896,1.1111111111111112,0.0032316007914965175,1.125352551894322e-05,0.0066392037694105125,2.311995010062051e-05,1.897303175237501,nan,nan,nan,4000,500,True,True,,3.0235756964922602e-05,0.014790696148305726
,300.0,isobaric,y,klow256,low,256,1,0.02454369260617026,0.04837849258185211,1.0,0.009941234535750182,3.4618736581648376e-05,0.0012589235296421295,4.3839969666132706e-06,0.38208502217865276,nan,nan,nan,44000,5500,True,True,,5.159964429703819e-06,0.04094998422138314
,300.0,isobaric,y,klow128,low,128,1,0.04908738521234052,0.04837849258185211,1.0,0.009229491127918956,3.214020562446936e-05,0.0016046687081302787,5.587998463149034e-06,0.5042439711002432,0.26076970319635984,347.6933813504591,1.4056005980357125,22751,2843,True,True,True,6.577074191126414e-06,0.03801816713010044
,300.0,isobaric,y,k1,production,64,1,0.09817477042468103,0.04837849258185211,1.0,0.006495461223439468,2.2619390002510767e-05,0.002985967031295895,1.0398145796297592e-05,0.998780815383756,0.2623766121224562,349.83592931975284,1.4229770899203642,5688,711,True,True,True,1.2238617602242267e-05,0.02675613714311995
,300.0,isobaric,y,kbox,diagnostic_wp13,48,1,0.1308996938995747,0.04837849258185211,1.0,0.0038521441777462193,1.3414467195634224e-05,0.0044155735142098985,1.5376518459113155e-05,1.5206837518767464,nan,nan,nan,4000,500,True,True,,1.8098162226376184e-05,0.01586777202870779
