variant,theta_dc,Y0_re,Y0_im,Y0_abs,Y0_phase_deg,D_OP_re,D_OP_im,D_OP_abs,d_OP_pct,delta_phi_deg,S_pp,R_dyn_pp,C_close,h_fit_residual,h_spread_rel
cold_anchor,0.0,0.0004998499235093941,0.0009596625375290436,0.0010820361047437512,62.48679110315853,,,,,,,,,6.208455142403356e-09,1.2387503786610803e-08
A0,0.05,0.0005080603860421575,0.0009204586458293628,0.0010513655285139087,61.10286665351137,0.971371330641344,-0.023467104155018473,0.971654757086774,-2.8345242913226043,-1.3839244496471685,0.0,-5.184886516461345,0.0,1.3574968385938843e-08,1.9753913038469995e-08
A0,0.1,0.0005143258458684202,0.0008860451569035964,0.0010245033410392493,59.86596510766527,0.9458387955728043,-0.04329479856129013,0.946829164523926,-5.317083547607404,-2.620825995493273,0.0,-9.95418764532521,0.0,2.205843544671549e-09,1.8778614827710572e-08
A1,0.05,,,,,0.971371330641344,-0.023467104155018473,0.971654757086774,-2.8345242913226043,-1.3839244496471685,0.0,-5.184886516461345,0.0,1.3574968385938843e-08,1.9753913038469995e-08
A1,0.1,,,,,0.9458387955728043,-0.04329479856129013,0.946829164523926,-5.317083547607404,-2.620825995493273,0.0,-9.95418764532521,0.0,2.205843544671549e-09,1.8778614827710572e-08
A2,0.05,0.0005497716061951312,0.0010064546585582734,0.0011468216071874584,61.354612871794295,1.0596667814037177,-0.020941993439468745,1.0598736975223668,5.987369752236682,-1.1321782313642401,8.821894043559286,3.6370075270979414,0.29853671521046565,3.0954685536540404e-09,1.3590274024599434e-08
A2,0.1,0.0005987467253162002,0.0010545345519778026,0.0012126585514446752,60.41282895091727,1.1199849856000772,-0.04055833630074758,1.1207191203031603,12.071912030316035,-2.0739621522412715,17.38899557792344,7.43480793259823,0.2530974703807354,1.011015650636257e-08,1.5397126761535836e-08
A3,0.05,0.0004613771195568035,0.0008776253858388271,0.0009915115553130397,62.26861158127114,0.9163320542380309,-0.0034893644440262164,0.9163386979105012,-8.366130208949885,-0.21817952188740794,-5.531605917627281,-10.716492434088625,-1.0668711648876297,9.317265513081759e-09,1.4461772734272253e-08
A3,0.1,0.00042740972164313296,0.0008061368863545842,0.0009124339700474353,62.06768984462239,0.843233933102719,-0.0061681106115223875,0.843256492132967,-15.674350786703295,-0.41910125853614366,-10.35726723909589,-20.3114548844211,-1.0404934694957233,6.481296581064503e-09,1.0502355129879707e-08
A4,0.05,0.0005080604067632392,0.0009204584462065681,0.0010513653637596388,61.10286040785263,0.9713711758644762,-0.023467206364163152,0.971654604823583,-2.8345395176416988,-1.3839306953059076,-1.5226319094452379e-05,-5.18490174278044,-2.9366735503355557e-06,4.703202768503449e-09,8.035763131630527e-09
A4,0.1,0.0005143260590236446,0.0008860445282173343,0.0010245029043271044,59.865937146958935,0.9458383712645311,-0.04329524168130969,0.9468287609217328,-5.317123907826716,-2.620853956199601,-4.036021931153044e-05,-9.954228005544522,-4.054596994818027e-06,1.3568463893502946e-08,1.9714411010931204e-08
A5,0.05,0.0005080431787531597,0.0009203987815803582,0.001051304802905524,61.10211107384056,0.9713149158660433,-0.023478557798034826,0.9715986354766739,-2.840136452332609,-1.3846800293179709,-0.005612161010004613,-5.19049867747135,-0.0010824076847557595,5.050129423214775e-09,6.925974367879651e-09
A5,0.1,0.0005142793267995748,0.0008858568830659948,0.0010243171595013057,59.86292859304315,0.9456646142178352,-0.04333704827567112,0.9466570986038265,-5.334290139617348,-2.6238625101153907,-0.01720659200994401,-9.971394237335154,-0.001728578224866606,1.636851779454229e-08,2.512870072645363e-08
A6,0.05,0.0005080603792292264,0.0009204586570497222,0.0010513655350449355,61.102867274050055,0.9713713369296101,-0.023467093780412753,0.9716547631226415,-2.834523687735846,-1.383923829108481,6.035867583520371e-07,-5.184885912874586,1.1641272323892338e-07,9.880794822871089e-09,1.4797887253873714e-08
A6,0.1,0.0005143258679465115,0.0008860451600047898,0.0010245033548050713,59.865964126876804,0.9458388075405239,-0.04329481533388157,0.9468291772460727,-5.3170822753927265,-2.62082697628174,1.272214677605632e-06,-9.954186373110531,1.2780698177561334e-07,7.230624815320799e-09,1.1384478922145294e-08
A2+A3,0.05,0.0004998689364054342,0.0009597258719552199,0.00108210105945947,62.48744739697691,1.0000600300160458,1.145517560470533e-05,1.0000600300816525,0.006003008165245127,0.0006562938183736836,2.8405272994878494,-2.3443592169734955,0.5478475354223361,3.6557413602643718e-09,1.0085108349781397e-08
A2+A3,0.1,0.0004999073210227056,0.000959871565867741,0.0010822480088101283,62.489208154749114,1.0001958373685076,4.219376997008564e-05,1.0001958382584903,0.019583825849034397,0.0024170515905746065,5.3366673734564385,-4.617520271868771,0.5361228423258326,4.196387957108633e-09,6.6663694417100565e-09
