metric,theta_dc,measured,frozen_gate
V0_stationarity_per_period_worst,,2.70907579025475e-06,0.001
V0_state_match_rel_worst,,4.2600143724258466e-05,0.01
V0_dc_closure_rel_hot_worst,,4.816001796004962e-05,0.001
V0_dc_closure_rel_cold_recorded,0.0,2.0853403141361255,
V1_odd_pairwise_rel_max,0.0,2.8493908903049974e-10,1e-06
V1_even_ratio_pair0,0.0,4.000017386768147,
V1_even_ratio_pair1,0.0,4.000083985180695,
V1_odd_pairwise_rel_max,0.05,2.773006712812758e-10,1e-06
V1_even_ratio_pair0,0.05,3.999991094081166,
V1_even_ratio_pair1,0.05,3.999960802663563,
V1_odd_pairwise_rel_max,0.1,2.662007394290931e-10,1e-06
V1_even_ratio_pair0,0.1,3.99999810397559,
V1_even_ratio_pair1,0.1,4.000004391120491,
r_F,0.0,3.417257899085285e-16,1e-05
r_F,0.05,4.144628779983486e-12,1e-05
r_F,0.1,7.41844748583419e-12,1e-05
V2_h_spread_rel_worst,,2.512870072645363e-08,1e-05
V3_cold_amp_rel_err,0.0,3.3736474247536563e-07,0.001
V3_cold_phase_deg_err,0.0,2.3097779576940636e-05,0.1
V4_d_OP_tangent_pct,0.05,-2.8345242913226043,
V4_archived_tan_pct,0.05,-2.8345129628396526,
V4_deviation_pp,0.05,-1.1328482951711294e-05,0.2
V4_d_OP_tangent_pct,0.1,-5.317083547607404,
V4_archived_tan_pct,0.1,-5.317059432017945,
V4_deviation_pp,0.1,-2.4115589458695297e-05,0.2
V5_mass_tangent_rel_worst,,7.080505626202503e-10,1e-07
V5_energy_account_rel_worst,,8.852225397613392e-07,1e-05
