case,N,branch,theta_hot_rel,theta_cold_rel,converged,steps,q_dc_per_col_lu,q_ref_continuum_lu,q_rel_err,face_consistency_rel,k_eff_bulk_over_nominal,wallpos_hot_rel,wallpos_cold_rel,profile_err_rel
adm_eps_N16_c1.05_e0.0001_m,16,G0,1.0499475,1.0500525,True,24500,-1.3794467013003566e-08,-7.463952957274616e-09,0.8481449564280845,0.018499550974280465,1.638942007852979,0.053271184105703966,0.05326463550989674,0.05601266181853306
adm_eps_N16_c1.05_e0.0001_p,16,G0,1.0500525,1.0499475,True,24500,1.3794454556508617e-08,7.463952957274616e-09,0.8481432875409651,0.01850312342819138,1.638876538450028,0.05326458501048499,0.053271133822119184,0.056012701650901976
adm_eps_N16_c1.05_e2.5e-05_m,16,G0,1.049986875,1.050013125,True,24500,-3.448621485297673e-09,-1.8659882392857474e-09,0.8481474924074104,0.01850088662842575,1.6389206231948414,0.05326880561059403,0.053267166986710794,0.05600478950540994
adm_eps_N16_c1.05_e2.5e-05_p,16,G0,1.050013125,1.049986875,True,24500,3.4486090392975413e-09,1.8659882392857474e-09,0.848140822483201,0.018501786598320913,1.6388979877256313,0.05326696588515552,0.05326860197375491,0.05600495137016945
adm_eps_N16_c1.05_e5e-05_m,16,G0,1.04997375,1.05002625,True,24500,-6.897236719173745e-09,-3.73197647858535e-09,0.8481458173038177,0.01850044591908384,1.6389269210058814,0.05326957291096915,0.053266297979927574,0.056007433615213674
adm_eps_N16_c1.05_e5e-05_p,16,G0,1.05002625,1.04997375,True,24500,6.897224222271706e-09,3.73197647858535e-09,0.8481424687023162,0.018502225616065848,1.6388916667794369,0.05326619755208935,0.053269471513275574,0.05600751408315566
adm_eps_N16_c1.1_e0.0001_m,16,G0,1.0999450000000002,1.1000550000000002,True,24500,-1.5240158857325576e-08,-8.206988051906703e-09,0.8569734427461337,0.01941568791498638,1.732147079625333,0.053407285842172046,0.05340070186303657,0.055179485175507276
adm_eps_N16_c1.1_e0.0001_p,16,G0,1.1000550000000002,1.0999450000000002,True,24500,1.5240146395100205e-08,8.206988051906703e-09,0.856971924256611,0.019419438393901922,1.732081668895091,0.05340065659283401,0.053407240007379564,0.055179522107251196
adm_eps_N16_c1.1_e2.5e-05_m,16,G0,1.0999862500000002,1.10001375,True,24500,-3.810044410269408e-09,-2.0517470129333775e-09,0.8569757315363153,0.019417094825358916,1.7321255615206215,0.053404886272599934,0.053403238050750014,0.05517173815176731
adm_eps_N16_c1.1_e2.5e-05_p,16,G0,1.10001375,1.0999862500000002,True,24500,3.810031899267528e-09,2.0517470129333775e-09,0.8569696338050643,0.01941803429176503,1.7321031865738648,0.05340305568689939,0.05340470292821438,0.05517188396982925
adm_eps_N16_c1.1_e5e-05_m,16,G0,1.0999725,1.1000275,True,24500,-7.62008249666873e-09,-4.103494025894466e-09,0.8569741904297592,0.019416627231821137,1.7321319190191746,0.05340566234499734,0.05340237074399264,0.055174339758541066
adm_eps_N16_c1.1_e5e-05_p,16,G0,1.1000275,1.0999725,True,24500,7.620070104250849e-09,4.103494025894466e-09,0.856971170462433,0.019418499706544856,1.7320968288725165,0.05340227955424392,0.053405571019642724,0.05517441229465583
adm_eps_N16_c1_e0.0001_m,16,G0,0.99995,1.00005,True,24500,-1.2413321412733914e-08,-6.7568258164773315e-09,0.8371527918423676,0.017584689381284768,1.5450763028633883,0.053066144194924725,0.05305963709103187,0.05688129566330832
adm_eps_N16_c1_e0.0001_p,16,G0,1.00005,0.99995,True,24500,1.2413309050622315e-08,6.7568258164773315e-09,0.8371509622685507,0.01758808867083872,1.5450110647727848,0.05305958098578792,0.053066088243150136,0.05688134041468794
adm_eps_N16_c1_e2.5e-05_m,16,G0,0.9999875,1.0000125,True,24500,-3.1033351428787358e-09,-1.6892064540933538e-09,0.8371556273412333,0.017585952608659028,1.5450551734658908,0.05306379053991973,0.05306216075838528,0.05687328420673274
adm_eps_N16_c1_e2.5e-05_p,16,G0,1.0000125,0.9999875,True,24500,3.103322539226088e-09,1.6892064540933538e-09,0.8371481660551263,0.017586814439940257,1.5450322262179719,0.053061936171031464,0.053063564558432995,0.05687346455474958
adm_eps_N16_c1_e5e-05_m,16,G0,0.999975,1.000025,True,24500,-6.2066638277075356e-09,-3.3784129081936353e-09,0.8371537157742228,0.017585539310689513,1.5450613053250353,0.05306454520487108,0.053061291539615495,0.05687597956208039
adm_eps_N16_c1_e5e-05_p,16,G0,1.000025,0.999975,True,24500,6.206651366541243e-09,3.3784129081936353e-09,0.8371500273066994,0.017587238470134214,1.5450260514362195,0.05306117937502496,0.053064433499254354,0.0568760682157381
adm_eps_N32_c1.05_e0.0001_m,32,G0,1.0499475,1.0500525,True,98000,-4.537485373834172e-09,-3.731976478637308e-09,0.21583975671009248,0.018488343427696674,1.096677381783952,0.017368145585892655,0.017366051769281063,0.05772923148163988
adm_eps_N32_c1.05_e0.0001_p,32,G0,1.0500525,1.0499475,True,98000,4.537470380387814e-09,3.731976478637308e-09,0.21583573914823373,0.01849205375215046,1.096689805917514,0.017365990591898542,0.01736808441943808,0.05772929312755815
adm_eps_N32_c1.05_e2.5e-05_m,32,G0,1.049986875,1.050013125,True,98000,-1.1343771358654879e-09,-9.329941196428737e-10,0.21584596513823517,0.01848975993041424,1.0966892830681862,0.017367453262165853,0.017366928611402696,0.057723740835463486
adm_eps_N32_c1.05_e2.5e-05_p,32,G0,1.050013125,1.049986875,True,98000,1.1343618804841768e-09,9.329941196428737e-10,0.21582961414417223,0.018490660673539883,1.0966779942407545,0.01736668357949816,0.017367208000774417,0.057723987189649675
adm_eps_N32_c1.05_e5e-05_m,32,G0,1.04997375,1.05002625,True,98000,-2.268746721347614e-09,-1.865988239292675e-09,0.21584191881488457,0.018489273462951927,1.096683444257823,0.017367654415628885,0.017366605146886413,0.05772559784618307
adm_eps_N32_c1.05_e5e-05_p,32,G0,1.05002625,1.04997375,True,98000,2.268731367597027e-09,1.865988239292675e-09,0.2158336906008671,0.018491133947630023,1.096683828924275,0.017366483201919407,0.01736753080414987,0.05772572599549232
adm_eps_N32_c1.1_e0.0001_m,32,G0,1.0999450000000002,1.1000550000000002,True,98000,-5.1655050866616266e-09,-4.103494025953352e-09,0.258806532674686,0.019403606900491477,1.1973149279987603,0.01795332220905841,0.01795114736953896,0.0554886032397478
adm_eps_N32_c1.1_e0.0001_p,32,G0,1.1000550000000002,1.0999450000000002,True,98000,5.165490114152974e-09,4.103494025953352e-09,0.25880288395275364,0.019407498172219206,1.197328028572042,0.017951092382652467,0.01795326681274643,0.05548865982652307
adm_eps_N32_c1.1_e2.5e-05_m,32,G0,1.0999862500000002,1.10001375,True,98000,-1.2913819458476637e-09,-1.0258735064666887e-09,0.2588120637752296,0.01940507585717377,1.1973267289306546,0.017952589791258904,0.017952044311330937,0.05548308804520975
