branch,theta_dc_target,stationarity_per_period,dc_closure_rel,column_replication_rel,mass_drift_settle,mass_rel_vs_target,p_mean_rel_isobaric_exp,p_mean_lu,p_exp_lu,theta_dc_measured,theta_dc_bulk_archived,theta_dc_rel_err,ensemble_pass
G0,0.05,1.434293119440883e-14,1.890247830113578e-10,0.0,8.548717289613705e-14,3.4061642395499803e-13,2.1626673607499924e-07,0.049573634187181845,0.049573644908312224,0.04742016769456448,0.05530365339200529,0.0515966461087104,False
G0,0.1,4.216821771156196e-14,1.5908202680629544e-10,0.0,5.162537064506978e-13,2.0972112935169207e-12,7.952005721678646e-07,0.05074213689341846,0.05074217724362683,0.0949795760451352,0.11066217098644678,0.050204239548648055,False
G0,0.0,2.108410885578098e-14,0.00875947273144557,0.0,1.1834977442504169e-13,5.438982597638642e-13,5.296874050486622e-13,0.048378492581829025,0.04837849258185465,2.848649564521538e-12,4.042842015768017e-12,,True
G0,0.05,5.2351698859592234e-14,7.250158307928961e-10,0.0,1.5754064719430971e-13,6.317169010117141e-13,2.5386859170417608e-08,0.04957717351082226,0.049577174769431014,0.04917318320121287,0.05407599803948158,0.016536335975742666,False
G0,0.1,7.573067670647862e-14,6.023401041363629e-10,0.0,5.0182080713057076e-14,4.75175454539567e-14,9.411812540438547e-08,0.05075529328723448,0.05075529806422799,0.09836110112013516,0.10794804775158175,0.016388988798648474,False
G0,0.0,4.274193495933832e-14,0.0038826003361599,0.0,9.070522111187529e-14,4.779510121011299e-13,4.681810494844285e-13,0.048378492581830274,0.04837849258185292,3.440152046978958e-12,5.11684070360535e-12,,True
G0,0.05,1.9321568722777986e-06,0.00013725815639822393,0.0,1.197930643570544e-13,6.478151348687788e-13,3.7775329131406465e-07,0.049586684448290036,0.04958666571676385,0.04956211109630651,0.04922913404042341,0.008757778073869793,True
G0,0.1,5.135459095923952e-06,0.0001913737399051542,0.0,1.2068124277675452e-13,6.477041125663163e-13,1.0638678984431493e-06,0.050789919265526166,0.05078986523181898,0.09912526912438077,0.09888067486878521,0.00874730875619234,True
G0,0.0,2.281960353030445e-13,0.009417327101243149,0.0,1.5298873279334657e-13,7.235323451482145e-13,6.920020112488601e-13,0.04837849258183521,0.04837849258186869,3.503547802858245e-12,5.0112767300145015e-12,,True
CONST_G,0.05,1.4528152298138163e-06,5.4292555619376396e-05,0.0,1.2090328738167955e-13,6.302736110797014e-13,2.903627496220196e-07,0.04959462873137823,0.049594614330949645,0.04928226079987688,0.052154336236233376,0.014354784002462373,False
CONST_G,0.1,2.998772003586345e-06,5.464600667108762e-05,0.0,1.0402789740737717e-13,5.596634267135414e-13,5.637613282871712e-07,0.0508156138641358,0.05081558521627398,0.09851925477424377,0.10399244948813675,0.014807452257562415,False
CONST_G,0.0,6.153117482401388e-14,0.007067778849286054,0.0,1.283417816466681e-13,5.974110095507967e-13,5.743183706385935e-13,0.04837849258183418,0.048378492581861963,3.436996602116188e-12,5.513996468378531e-12,,True
G0,0.05,1.4938075569411945e-06,5.575576531424381e-05,0.0,1.262323578998803e-13,6.211697822777751e-13,2.9848342952831786e-07,0.04959556658503989,0.04959555178158951,0.049320127413057385,0.05219429793037062,0.013597451738852295,False
G0,0.1,3.082482234808992e-06,5.603422694019352e-05,0.0,1.0469403122215226e-13,5.88862292261183e-13,5.791089188189602e-07,0.05081930616188774,0.05081927673199134,0.09866821010886469,0.10414894855567179,0.013317898911353154,False
G0,0.0,6.153117482401388e-14,0.007067778849286054,0.0,1.283417816466681e-13,5.974110095507967e-13,5.743183706385935e-13,0.04837849258183418,0.048378492581861963,3.436996602116188e-12,5.513996468378531e-12,,True
